open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
1524009600000,502.56,526.99,501.12,526.09,73161.95251,1524095999999,37673780.8368876,68912,0,0,0
1524096000000,526.49,571.61,521.03,568.14,112235.77328,1524182399999,61044208.3175114,100508,0,0,0
1524182400000,568.14,622.17,556.5,617.09,160209.03951,1524268799999,93907683.4773283,153184,0,0,0
1524268800000,616.8,624.5,570.23,604.87,159364.95353,1524355199999,95664939.9408183,159407,0,0,0
1524355200000,604.87,643.49,589.0,620.92,120127.3728,1524441599999,74788729.8493192,122258,0,0,0
1524441600000,620.67,649.11,618.02,645.09,77475.70793,1524527999999,49473079.4449478,88353,0,0,0
1524528000000,644.58,712.99,643.76,701.58,171437.66972,1524614399999,118180314.7165787,159888,0,0,0
1524614400000,701.16,703.3,593.83,618.0,341439.50428,1524700799999,218497368.193498,309129,0,0,0
1524700800000,617.73,666.19,600.0,661.51,155754.00815,1524787199999,98084636.5776993,150017,0,0,0
1524787200000,661.51,686.82,635.73,643.46,134803.48389,1524873599999,89621495.4179006,132051,0,0,0
1524873600000,643.41,694.9,638.76,682.86,113128.36337,1524959999999,76596615.4329475,114761,0,0,0
1524960000000,683.5,700.49,665.28,690.85,110020.23869,1525046399999,75235079.3018448,121177,0,0,0
1525046400000,690.85,695.3,662.2,670.78,112494.9172,1525132799999,76654028.9797539,109155,0,0,0
1525132800000,670.78,675.6,627.58,672.0,133123.66675,1525219199999,87065924.8511483,120421,0,0,0
1525219200000,671.99,691.99,663.0,688.56,86185.5033,1525305599999,58547697.5057035,97534,0,0,0
1525305600000,688.55,792.08,685.39,779.0,229419.209,1525391999999,169982888.3383364,210459,0,0,0
1525392000000,779.0,810.0,756.91,785.99,179924.40215,1525478399999,141283262.9241322,161690,0,0,0
1525478400000,785.8,832.66,781.56,819.5,128631.18764,1525564799999,104594301.6093639,121136,0,0,0
1525564800000,819.5,839.99,752.49,794.3,166871.16002,1525651199999,132187629.450689,154829,0,0,0
1525651200000,794.3,799.14,701.0,752.49,284237.06328,1525737599999,210066185.28612953,232411,0,0,0
1525737600000,753.0,777.0,720.02,748.99,135106.19621,1525823999999,101156197.2573318,126971,0,0,0
1525824000000,748.99,760.74,710.26,751.75,112353.37758,1525910399999,82933836.454514,104593,0,0,0
1525910400000,752.4,769.88,720.0,722.52,102019.29933,1525996799999,76658823.4630308,99850,0,0,0
1525996800000,722.52,737.23,663.0,676.96,216953.54991,1526083199999,150336847.8280685,192008,0,0,0
1526083200000,676.96,690.2,633.2,684.11,166801.07487,1526169599999,111101666.3239263,159177,0,0,0
1526169600000,684.56,742.0,666.31,729.08,136022.39207,1526255999999,96516164.9841859,116733,0,0,0
1526256000000,729.08,743.9,686.0,727.49,183466.9224,1526342399999,131397089.1149141,152787,0,0,0
1526342400000,727.49,740.0,695.0,704.91,127191.21863,1526428799999,91869541.8424722,115906,0,0,0
1526428800000,704.91,712.84,673.52,706.29,118902.46895,1526515199999,82315246.5132033,121956,0,0,0
1526515200000,706.8,719.25,662.0,667.62,106723.38375,1526601599999,74320001.2537688,109610,0,0,0
1526601600000,667.62,694.9,656.0,692.6,106541.66307,1526687999999,72118376.5238014,114419,0,0,0
1526688000000,693.26,717.8,682.31,697.0,88828.85641,1526774399999,62026599.8097705,99860,0,0,0
1526774400000,697.0,729.88,688.4,716.16,86004.7409,1526860799999,61227466.2924883,91685,0,0,0
1526860800000,716.16,720.46,688.0,696.7,96085.15451,1526947199999,67799023.5499843,89438,0,0,0
1526947200000,697.1,699.6,637.32,640.99,107059.5769,1527033599999,72112726.836348,110915,0,0,0
1527033600000,640.86,669.0,560.0,577.19,257099.77096,1527119999999,155638543.7608657,203100,0,0,0
1527120000000,577.19,612.1,550.0,602.18,195854.62497,1527206399999,114324332.2609641,159755,0,0,0
1527206400000,602.08,617.46,568.7,585.55,118076.26273,1527292799999,70118224.9343135,115243,0,0,0
1527292800000,585.56,607.62,578.32,586.0,77654.12532,1527379199999,46205282.6853549,76446,0,0,0
1527379200000,586.03,592.0,557.43,570.4,97097.26713,1527465599999,55737244.5191023,90855,0,0,0
1527465600000,570.81,576.2,506.11,511.5,153197.83278,1527551999999,81950608.3901462,136137,0,0,0
1527552000000,511.5,573.43,510.0,567.36,189082.83788,1527638399999,103113233.70003,128067,0,0,0
1527638400000,567.09,585.83,541.2,557.19,122132.2701,1527724799999,68698935.1823503,94311,0,0,0
1527724800000,557.87,586.73,552.98,577.81,100101.52276,1527811199999,57312700.8700542,88463,0,0,0
1527811200000,577.81,590.26,564.93,579.0,83840.84162,1527897599999,48334174.7645864,85475,0,0,0
1527897600000,579.0,599.17,572.9,590.85,80258.14719,1527983999999,47346968.1318188,81067,0,0,0
1527984000000,590.85,628.81,590.1,619.66,84123.33235,1528070399999,51660963.9070336,83803,0,0,0
1528070400000,619.66,625.47,580.15,591.02,96339.44507,1528156799999,57791317.7268969,86009,0,0,0
1528156800000,591.02,614.0,570.36,609.05,89053.74351,1528243199999,52918830.2092289,86957,0,0,0
1528243200000,609.29,613.35,593.4,607.4,70152.92117,1528329599999,42406036.3359788,71275,0,0,0
1528329600000,606.68,618.0,598.24,605.16,60174.1888,1528415999999,36622061.3957984,61247,0,0,0
1528416000000,605.2,608.45,593.33,598.68,49228.00755,1528502399999,29570758.3831474,49881,0,0,0
1528502400000,599.29,608.97,591.0,592.87,38908.0653,1528588799999,23425391.9800099,40208,0,0,0
1528588800000,592.44,592.87,501.13,524.11,190350.58429,1528675199999,103749727.2406178,145196,0,0,0
1528675200000,524.64,535.51,508.66,531.69,145813.07819,1528761599999,76462994.8697018,117598,0,0,0
1528761600000,531.08,538.88,482.0,493.0,158223.14812,1528847999999,81341580.8232696,121424,0,0,0
1528848000000,493.0,501.97,449.06,475.47,181842.19417,1528934399999,86416386.6308936,134718,0,0,0
